frame,background,x0,y0,intensity,theta,sigmax,sigmay,aspect,z,dbackground,dx0,dy0,dintensity,dtheta,dsigmax,daspect,sum_pixels,peak_Value,ROIx,ROIy
711,3404.1,232.32,203.087,186409,0,1.21301,1.39292,1.14832,9.00E+09,197.941,0.0290032,0.0333467,9062.68,0,0.0384753,0.0391877,350515,20963,7,7
712,3414.94,232.3,203.333,199705,0,1.23549,1.41074,1.14185,9.00E+09,174.746,0.0243047,0.0278386,8145,0,0.0325528,0.0322107,363383,21650.6,7,7
713,3466.42,232.239,203.621,203031,0,1.22486,1.40562,1.14758,9.00E+09,170.846,0.0239745,0.0277371,7951.74,0,0.0314999,0.0324899,368129,22234.9,7,7
714,3482.64,232.182,203.811,192410,0,1.1781,1.41576,1.20173,9.00E+09,223.638,0.0311073,0.0374742,10176.8,0,0.0411593,0.0453933,360205,21842.7,7,7
715,3281.37,232.155,204.172,196782,0,1.24992,1.43874,1.15106,9.00E+09,213.043,0.029431,0.0339673,10076.9,0,0.040579,0.0388532,354028,20697.1,7,7
716,3334.02,232.128,204.501,208296,0,1.21644,1.4681,1.20688,9.00E+09,242.941,0.0321461,0.0391357,11514,0,0.0434938,0.0462477,366551,21897.4,7,7
717,3974.2,232.135,204.696,195831,0,1.14392,1.36155,1.19025,9.00E+09,238.478,0.0325341,0.0388058,10478.9,0,0.0416116,0.0482902,388215,23985.3,7,7
718,3690.63,232.175,205.014,213975,0,1.21627,1.37074,1.127,9.00E+09,207.957,0.0264321,0.0298202,9448.75,0,0.0350556,0.0348873,392159,24117.3,7,7
719,3734.87,232.126,205.276,212060,0,1.21954,1.39575,1.14449,9.00E+09,263.833,0.0339784,0.0389868,12132.4,0,0.0453863,0.0455992,391828,23562.6,7,7
720,3680.16,232.051,205.422,216551,0,1.21189,1.45974,1.20451,9.00E+09,227.967,0.0287004,0.0347998,10730.2,0,0.0388793,0.0412019,392165,23162.5,7,7
721,3406.07,232.114,205.835,231852,0,1.27609,1.46247,1.14606,9.00E+09,262.993,0.0336739,0.0394039,12892.1,0,0.0452467,0.0446521,390014,23178.5,7,7
722,3923.73,232.167,206.145,216585,0,1.18684,1.44431,1.21693,9.00E+09,331.822,0.0408699,0.0498787,15316.2,0,0.0548842,0.0600801,405271,24033,7,7
723,3984.56,232.141,206.411,213518,0,1.20199,1.37768,1.14617,9.00E+09,317.671,0.04098,0.0471317,14420.8,0,0.0536938,0.0559495,405414,24505.8,7,7
724,3890.83,232.054,206.663,207431,0,1.19937,1.40399,1.17061,9.00E+09,263.348,0.0357778,0.0422747,12128.2,0,0.0466228,0.0505844,393238,23496.3,7,7
725,4197.02,232.042,206.738,203054,0,1.1789,1.4054,1.19212,9.00E+09,369.105,0.0487635,0.0582927,16742.4,0,0.0643451,0.070542,405736,23702.4,7,7
726,4127.9,232.059,206.825,189115,0,1.17319,1.3623,1.16119,9.00E+09,341.496,0.0484436,0.0563326,15189.2,0,0.0629684,0.0682941,389247,22960.2,7,7
727,4316.73,232.054,207.125,190506,0,1.13048,1.35053,1.19465,9.00E+09,306.943,0.0424661,0.0507885,13335,0,0.0540511,0.0638298,400180,24175.9,7,7
728,3651.62,232.012,207.941,219051,0,1.31648,1.47053,1.11702,9.00E+09,382.222,0.053661,0.0616666,19212.9,0,0.0724421,0.0679191,388069,21660,7,7
729,3923.56,231.767,208.501,209934,0,1.31608,1.356,1.03033,9.00E+09,361.749,0.050742,0.0524436,17085,0,0.0679179,0.0569936,397921,22645.9,7,7
730,3688.78,231.464,208.953,228669,0,1.31942,1.46076,1.10712,9.00E+09,385.44,0.0484864,0.0536436,18955.8,0,0.0675368,0.0585457,403479,22571.5,7,7
731,5745.79,231.217,209.289,161776,0,1.09568,1.21613,1.10994,9.00E+09,621.088,0.101584,0.112791,25181.3,0,0.122334,0.145815,442483,25068.6,7,7
732,4218.53,230.803,209.538,237641,0,1.53804,1.37728,0.895475,9.00E+09,962.621,0.129223,0.11549,49859.6,0,0.185138,0.10921,436028,22073.2,7,7
733,4729.85,230.716,210.23,181241,0,1.24869,1.32268,1.05925,9.00E+09,712.69,0.110956,0.117596,32243.9,0,0.145032,0.133975,410724,22194.8,7,7
734,4233.17,230.539,210.808,199904,0,1.34869,1.45411,1.07816,9.00E+09,680.824,0.107353,0.117578,34285.5,0,0.14467,0.126636,398884,20456.2,7,7
735,4695.29,230.714,211.721,165891,0,1.11475,1.40615,1.26141,9.00E+09,487.774,0.0805729,0.102764,21717.3,0,0.101113,0.132532,391906,21538.9,7,7
736,4210.74,230.658,212.239,169688,0,1.10663,1.43701,1.29855,9.00E+09,480.279,0.0741882,0.0966686,21364.7,0,0.0952353,0.12493,373305,21193.6,7,7
737,3940.29,230.663,212.809,168901,0,1.0783,1.41129,1.30881,9.00E+09,371.619,0.056792,0.074521,16153.2,0,0.0716996,0.0986486,359713,21604.5,7,7
738,3910.02,230.673,214.017,161860,0,1.09476,1.40946,1.28747,9.00E+09,328.086,0.0570379,0.0753261,14700.4,0,0.0699431,0.0996665,347310,20605,7,7
739,3296.19,230.701,215.022,176453,0,1.19848,1.46229,1.22013,9.00E+09,178.34,0.0301872,0.0380722,8565.43,0,0.038671,0.0461092,329826,19320.7,7,7
740,3093.07,230.642,215.786,179467,0,1.24244,1.51043,1.2157,9.00E+09,152.96,0.0249542,0.0310329,7535.8,0,0.0334596,0.0362153,323716,18313.6,7,7
741,3086.99,230.544,216.366,197643,0,1.25395,1.54045,1.22847,9.00E+09,191.708,0.0271525,0.0336287,9474.36,0,0.0377867,0.0387898,342726,19371.5,7,7
742,3112.96,230.689,217.332,204947,0,1.26069,1.44407,1.14546,9.00E+09,170.012,0.0272832,0.0333613,8546.91,0,0.0343644,0.0385001,343471,21029.8,7,7
743,3015.18,230.946,218.075,224379,0,1.29696,1.42505,1.09876,9.00E+09,154.753,0.0218109,0.0247483,7629.52,0,0.0284282,0.027684,361551,22336.9,7,7
744,3057.02,231,218.486,225061,0,1.27272,1.38462,1.08792,9.00E+09,162.587,0.0205362,0.0224441,7627.77,0,0.0276099,0.025209,370496,23383.3,7,7
745,2967.52,230.957,218.741,235716,0,1.29428,1.40703,1.08711,9.00E+09,194.745,0.0245312,0.0269857,9358.64,0,0.0328177,0.0299951,374271,23568,7,7
746,3741.29,230.961,218.917,231853,0,1.1988,1.42433,1.18813,9.00E+09,234.614,0.0270306,0.0321862,10798.7,0,0.0363681,0.0383156,411719,25352.4,7,7
747,3319.27,230.975,219.138,252356,0,1.23549,1.49596,1.21082,9.00E+09,263.575,0.0278675,0.033887,12655.7,0,0.0391426,0.0393823,409658,25050.1,7,7
748,3425.58,230.951,219.191,232723,0,1.17819,1.43698,1.21965,9.00E+09,227.779,0.0260422,0.0318582,10447.6,0,0.0347826,0.0386384,396861,25303,7,7
749,3353.04,230.899,219.342,237885,0,1.17206,1.50527,1.28429,9.00E+09,228.903,0.0256501,0.0331798,10763.6,0,0.0347035,0.0407335,396696,24812.6,7,7
750,3169.56,230.925,219.434,232498,0,1.21271,1.49978,1.23671,9.00E+09,249.096,0.0291047,0.0363132,11913.1,0,0.0399424,0.0431129,381908,23514.5,7,7
751,3173.87,230.97,219.55,231775,0,1.23995,1.43697,1.1589,9.00E+09,271.052,0.0327835,0.0383084,12828.1,0,0.0442228,0.0443455,381788,23877,7,7
752,3791.33,231.138,219.896,251348,0,1.24865,1.71406,1.37273,9.00E+09,621.763,0.0647988,0.0903495,32480.8,0,0.0984832,0.106853,426377,22482.1,7,7
753,3753.18,231.21,219.975,250168,0,1.27848,1.68828,1.32054,9.00E+09,607.886,0.0639705,0.0855652,31844.4,0,0.0980378,0.0984594,423865,22199.7,7,7
754,3262.14,231.191,220.162,269951,0,1.33612,1.72742,1.29286,9.00E+09,582.838,0.0565752,0.074369,31705.1,0,0.0911365,0.0824145,416724,21877.1,7,7
755,3387.82,231.115,220.291,262773,0,1.30047,1.75604,1.35032,9.00E+09,615.704,0.0615309,0.0850449,33427,0,0.0976302,0.097146,415109,21701.1,7,7
756,2984.95,231.132,220.475,295081,0,1.38689,1.77989,1.28337,9.00E+09,695.425,0.062754,0.0833691,39605.8,0,0.104495,0.0893482,422450,22010.1,7,7
757,2640.09,231.097,220.552,310418,0,1.38647,1.8555,1.33829,9.00E+09,651.614,0.0557816,0.078589,38250.6,0,0.0949162,0.0848553,415939,21844.2,7,7
758,3727.17,231.071,221.158,353225,0,1.25961,2.78139,2.20814,9.00E+09,933.846,0.0758197,0.203208,71627.2,0,0.138288,0.293374,461667,19773.5,7,7
759,2894.25,231.02,220.706,300126,0,1.37173,1.85466,1.35207,9.00E+09,559.536,0.0508824,0.0736228,32938.1,0,0.08418,0.0797192,417069,21669.7,7,7
